ip_address,event,element,timestamp,x,y,page,relatedElement,inputValue,location,destination,timeSpent,scroll,depth,timeSpentOnHover
127.0.0.1,hover,Bhuvan 3D Box,2024-11-13T15:03:56.129Z,653,382,info-section,,,,,0,0,0,0
127.0.0.1,click,BUTTON,2024-11-13T15:03:58.280Z,1427,97,page,,,"null, null",,2,0,0,0
127.0.0.1,hover,Bhuvan 3D Box,2024-11-13T15:04:03.928Z,581,363,info-section,,,,,3,0,0,0
127.0.0.1,hover,Bhuvan 3D Box,2024-11-13T15:04:03.944Z,593,411,info-section,,,,,3,0,0,0
127.0.0.1,scroll,page,2024-11-13T15:04:04.266Z,,,,,,,,4,0,0,0
127.0.0.1,scroll,page,2024-11-13T15:04:04.277Z,,,,,,,,4,0,0,0
127.0.0.1,scroll,page,2024-11-13T15:04:04.294Z,,,,,,,,4,0,0,0
127.0.0.1,scroll,page,2024-11-13T15:04:04.310Z,,,,,,,,4,0,0,0
127.0.0.1,scroll,page,2024-11-13T15:04:04.328Z,,,,,,,,4,0,0,0
127.0.0.1,scroll,page,2024-11-13T15:04:04.344Z,,,,,,,,4,0,0,0
127.0.0.1,scroll,page,2024-11-13T15:04:04.361Z,,,,,,,,4,0,0,0
127.0.0.1,scroll,page,2024-11-13T15:04:04.377Z,,,,,,,,4,0,0,0
127.0.0.1,scroll,page,2024-11-13T15:04:04.394Z,,,,,,,,4,0,0,0
127.0.0.1,scroll,page,2024-11-13T15:04:04.411Z,,,,,,,,4,0,0,0
127.0.0.1,scroll,page,2024-11-13T15:04:04.427Z,,,,,,,,4,0,0,0
127.0.0.1,scroll,page,2024-11-13T15:04:04.444Z,,,,,,,,4,0,0,0
127.0.0.1,scroll,page,2024-11-13T15:04:04.461Z,,,,,,,,4,0,0,0
127.0.0.1,scroll,page,2024-11-13T15:04:04.477Z,,,,,,,,4,0,0,0
127.0.0.1,scroll,page,2024-11-13T15:04:04.494Z,,,,,,,,4,0,0,0
127.0.0.1,scroll,page,2024-11-13T15:04:04.510Z,,,,,,,,4,0,0,0
127.0.0.1,scroll,page,2024-11-13T15:04:04.527Z,,,,,,,,4,0,0,0
127.0.0.1,scroll,page,2024-11-13T15:04:04.543Z,,,,,,,,4,0,0,0
127.0.0.1,scroll,page,2024-11-13T15:04:04.561Z,,,,,,,,4,0,0,0
127.0.0.1,scroll,page,2024-11-13T15:04:04.577Z,,,,,,,,4,0,0,0
127.0.0.1,scroll,page,2024-11-13T15:04:04.593Z,,,,,,,,4,0,0,0
127.0.0.1,scroll,page,2024-11-13T15:04:04.643Z,,,,,,,,4,0,0,0
127.0.0.1,scroll,page,2024-11-13T15:04:04.659Z,,,,,,,,4,0,0,0
127.0.0.1,scroll,page,2024-11-13T15:04:04.676Z,,,,,,,,4,0,0,0
127.0.0.1,scroll,page,2024-11-13T15:04:04.693Z,,,,,,,,4,0,0,0
127.0.0.1,scroll,page,2024-11-13T15:04:04.727Z,,,,,,,,4,0,0,0
127.0.0.1,scroll,page,2024-11-13T15:04:04.743Z,,,,,,,,4,0,0,0
127.0.0.1,scroll,page,2024-11-13T15:04:04.759Z,,,,,,,,4,0,0,0
127.0.0.1,scroll,page,2024-11-13T15:04:04.776Z,,,,,,,,4,0,0,0
127.0.0.1,scroll,page,2024-11-13T15:04:04.793Z,,,,,,,,4,0,0,0
127.0.0.1,scroll,page,2024-11-13T15:04:04.810Z,,,,,,,,4,0,0,0
