ip_address,page,timeSpent
127.0.0.1,Home,4.444
127.0.0.1,Home,8.948
127.0.0.1,Home,14.818
127.0.0.1,Home,20.387
127.0.0.1,Home,35.705
127.0.0.1,Home,39.657
127.0.0.1,Home,3.67
127.0.0.1,Home,8.25
127.0.0.1,Home,22.608
127.0.0.1,Home,94.083
127.0.0.1,Home,98.705
127.0.0.1,Home,101.601
127.0.0.1,Home,105.541
127.0.0.1,Home,108.235
127.0.0.1,Home,110.813
127.0.0.1,Home,113.131
127.0.0.1,Home,116.84
127.0.0.1,Home,119.627
127.0.0.1,Home,122.49
127.0.0.1,Home,126.189
127.0.0.1,Home,130.387
127.0.0.1,Home,135.798
127.0.0.1,Home,50.319
127.0.0.1,Home,75.236
127.0.0.1,Home,2.267
127.0.0.1,Home,2.758
127.0.0.1,Home,18.386
127.0.0.1,Home,22.133
127.0.0.1,Home,28.489
127.0.0.1,Home,2.13
127.0.0.1,Home,13.026
127.0.0.1,Home,4.829
127.0.0.1,Home,22.035
127.0.0.1,Home,26.241
127.0.0.1,Home,29.934
127.0.0.1,Home,98.037
127.0.0.1,Home,105.993
127.0.0.1,Home,4.213
127.0.0.1,Home,9.726
127.0.0.1,Home,57.925
127.0.0.1,Home,275.824
127.0.0.1,Home,281.638
127.0.0.1,Home,19.725
